Customer.ID,Years.customer,Months.customer,Minutes.in.2018,Minutes.onnet,Minutes.offnet,Number.of.SMS,KBs.used,Total.Unique.Calls,Previous.provider,Churn.Status,Customer.Age,Customer.Municipality,Latitude,Longitude,Province,LoginsSite.Last.Month,LoginsSite.Last.6Months,EndSubscription,Total.Call.centre.complaint.calls,MonthlySubscriptionPrice
ADF1259,3805,126.83,4091.616,1436.3249289999999,2655.291071,81,3624.375,117,KPN,0,44,Utrecht,52.0907374,5.121420099999999,Utrecht,6,11,5,2,45.640142469405696
ADF1192,2905,96.83,3179.28,1949.967368,1229.3126320000001,101,551842.8331,106,Telfort,0,31,Hoogeveen,52.72861579999999,6.4901002,Drenthe,8,12,4,2,21.8714466198371
ADF1501,3819,127.3,7233.1824,949.0150844000001,6284.167316,79,2128472.938,94,TELE2,0,35,Oosterhout,51.64102020000001,4.8616901,Noord-Brabant,6,8,5,3,28.005670433962496
ADF1762,3643,121.43,7336.1759999999995,1765.1670789999998,5571.008921,121,21807.3848,450,Ben,1,54,Amsterdam,52.3702157,4.895167900000001,Noord-Holland,5,14,3,1,26.1221887596171
ADF1345,3809,126.97,5390.94,3519.0605270000005,1871.879473,16,464885.6963,308,TELE2,0,53,Zundert,51.470701500000004,4.662355799999999,Noord-Brabant,7,9,3,2,41.25099890201
ADF1055,2260,75.33,901.32,159.9566916,741.3633083999999,0,1.0791,162,KPN,0,79,Boxtel,51.601437,5.3121773,Noord-Brabant,8,10,6,4,14.8940031579834
ADF1134,4153,138.43,2543.58,1286.158865,1257.421135,8,157.5615,75,KPN,0,33,De Marne,53.36093399999999,6.3805213,Groningen,5,10,4,5,63.956850668585396
ADF1658,165,5.5,1220.2872,223.0037924,997.2834075999999,7,396747.0527,27,KPN,1,76,Eemsmond,53.4003443,6.6484102,Groningen,7,16,4,1,18.3366152698195
ADF1142,1268,42.27,2637.768,1813.472883,824.295117,5,28953422.55,43,TELE2,0,77,Assen,52.992753,6.5642284,Drenthe,3,13,6,2,34.5214019693649
ADF1228,717,23.9,3665.82,1342.27152,2323.54848,0,4303770.345,54,Telfort,0,34,Oisterwijk,51.5654243,5.2030282,Noord-Brabant,5,13,4,3,21.3173272765243
ADF1364,1822,60.73,5520.96,1305.854298,4215.105702000001,0,53584.456,278,Vodafone,0,23,Amsterdam,52.3702157,4.895167900000001,Noord-Holland,6,9,3,1,54.5020144162736
ADF1775,1774,59.13,7822.68,3845.048706,3977.631294,39,8.1387,322,KPN,1,71,Beverwijk,52.48698420000001,4.6574468,Noord-Holland,6,10,4,2,-6.0946682266332495
ADF1319,325,10.83,5198.1,3121.477327,2076.622673,4,277.9688,289,Vodafone,0,42,Assen,52.992753,6.5642284,Drenthe,6,13,6,2,25.033259899748
ADF1252,585,19.5,4049.9040000000005,1405.831958,2644.0720420000002,26,11937595.66,130,0,0,48,Helmond,51.479254700000006,5.657009599999999,Noord-Brabant,7,12,2,1,30.478208413986202
ADF0547,1745,58.17,6183.91932,2227.08734,3956.8319799999995,69,2891582.5730000003,16,KPN,1,19,Haarlem,52.3873878,4.6462194000000006,Noord-Holland,4,13,7,1,39.9855455247849
