Customer.ID,Total.Unique.Calls,Total.Call.centre.complaint.calls,Previous.provider,Customer.Age,Customer.Municipality,PricePhone,MonthlySubscriptionPrice,LoginsSite.Last.Month,LoginsSite.Last.6Months,PaidAfterPaymentDate,Years.customer,Months.customer,Minutes.in.2018,Number.of.SMS,KBs.used,Minutes.offnet,Minutes.onnet,Latitude,Longitude,Province,EndSubscription
ADF1345,308,2,TELE2,53,Zundert,267.9806099,41.2509989,7,9,5,3809,126.97,5390.94,16,464885.6963,1871.879473,3519.060527,51.4707015,4.6623558,Noord-Brabant,24-3-2019
ADF1658,27,1,KPN,76,Eemsmond,305.7270178,18.33661527,7,16,3,165,5.5,1220.2872,7,396747.0527,997.2834076,223.0037924,53.4003443,6.6484102,Groningen,24-4-2019
ADF0063,138,1,Vodafone,18,Krimpenerwaard,266.660924,45.17229442,6,11,2,727,24.23,4395.3528,8,252.875,1044.632718,3350.720082,51.982222,4.781667,Zuid-Holland,18-6-2019
ADF0047,79,2,T-Mobile,46,Rijssen-Holten,489.1033832,36.97592262,5,12,2,4082,136.07,1573.68,0,8.6738,476.4375547,1097.242445,52.2925057,6.439999,Overijssel,25-1-2019
ADF1348,660,1,Telfort,18,Zoeterwoude,134.5437762,32.38065518,5,12,1,1417,47.23,5419.62,0,2166780.011,4331.800248,1087.819752,52.1208305,4.5165697,Zuid-Holland,8-5-2019
ADF1063,18,3,Vodafone,75,Maastricht,207.286152,41.82388733,3,14,1,118,3.93,1051.74,102,114262.0723,319.160469,732.579531,50.8513682,5.6909725,Limburg,10-4-2019
ADF1997,150,1,KPN,32,Westland,139.8911142,5.675048706,7,10,2,345,11.5,9955.6872,10,46951698.56,6494.227577,3461.459623,51.9991757,4.217457,Zuid-Holland,1-4-2019
ADF1398,127,6,KPN,48,Haarlem,387.6732449,11.46580004,5,13,0,137,4.57,5867.1792,29,214114.5029,1567.235241,4299.943959,52.3873878,4.6462194,Noord-Holland,14-3-2019
ADF1278,168,1,T-Mobile,23,Zwolle,110.9411534,5.760323035,6,11,1,170,5.67,4422.6312,40,1205828.366,3492.539869,930.0913307,52.5167747,6.0830219,Overijssel,21-1-2019
ADF1177,52,1,KPN,36,Wassenaar,192.3772564,38.91195938,6,8,2,1355,45.17,3046.656,4,709844.5869,2079.385874,967.2701258,52.1429096,4.4012129,Zuid-Holland,26-2-2019
ADF0414,2,1,Vodafone,18,Oss,319.295242,37.11370069,6,11,1,906,30.2,347.4,7,69978.7031,115.3589673,232.0410327,51.7611801,5.5140482,Noord-Brabant,8-6-2019
ADF0379,3,1,TELE2,22,Dantumadeel,259.2498334,43.65768443,7,12,3,635,21.17,248.88,16,9.8418,214.8491474,34.03085261,53.2729807,5.9859302,Friesland,18-3-2019
ADF1293,78,1,Telfort,35,Etten-Leur,335.8200612,0.519558389,3,11,0,141,4.7,4862.28,50,210613.8564,1503.877831,3358.402169,51.5868855,4.6671384,Noord-Brabant,22-8-2019
ADF1362,502,3,T-Mobile,88,Eindhoven,604.8835359,35.68340882,8,15,0,3341,111.37,5514.396,6,200704.8692,1419.874823,4094.521177,51.441642,5.4697225,Noord-Brabant,23-4-2019
ADF0387,5,1,Vodafone,24,Goirle,-27.15057944,38.60099863,5,12,2,855,28.5,258.924,14,4.9688,113.3583898,145.5656102,51.5236773,5.0641948,Noord-Brabant,8-1-2019
ADF1266,150,1,Telfort,75,Neerijnen,327.0348116,48.73215607,5,9,2,1883,62.77,4272.384,19,1863.6113,3313.411718,958.9722817,51.8319019,5.2793557,Gelderland,29-6-2019
ADF0560,578,1,KPN,21,Brummen,213.086765,25.31102429,7,13,4,452,15.07,10126.08,18,12370663.76,6732.501688,3393.578312,52.0901666,6.1580145,Gelderland,14-6-2019
ADF1094,55,1,KPN,22,Sint Anthonis,491.5964068,19.55403452,6,12,3,931,31.03,1778.52,2,36708.586,882.7451871,895.7748129,51.6271613,5.8851934,Noord-Brabant,22-1-2019
ADF1158,96,1,TELE2,32,Zundert,424.2627735,46.80343219,3,13,3,307,10.23,2841.636,5,3494.374,1862.883437,978.7525627,51.4707015,4.6623558,Noord-Brabant,23-1-2019
ADF1429,364,2,TELE2,64,Ridderkerk,388.4548434,45.69029989,9,9,1,3382,112.73,6277.968,7,312453.664,4469.994757,1807.973243,51.8702526,4.6022335,Zuid-Holland,13-3-2019
ADF1755,168,2,KPN,76,Utrecht,148.5898664,18.7902656,4,13,1,129,4.3,6813.12,76,6615818.753,2668.250443,4144.869557,52.0907374,5.1214201,Utrecht,22-2-2019
ADF0470,5,1,TELE2,53,Venray,199.8765876,28.04181837,9,15,3,671,22.37,713.712,5,151865.1455,696.2291099,17.48289007,51.5270578,5.975332,Limburg,15-3-2019
ADF0383,7,1,TELE2,42,'s-Hertogenbosch,341.0594219,42.44615531,4,12,1,2793,93.1,254.88,12,332.3574,214.547912,40.33208805,51.6978162,5.3036748,Noord-Brabant,24-1-2019
ADF0335,33,1,Vodafone,33,Oost Gelre,497.9848001,38.328766,6,11,3,151,5.03,5397.7944,5,39960102.3,2898.592812,2499.201588,51.9901169,6.5670679,Gelderland,18-5-2019
ADF1675,251,2,Vodafone,29,Hellendoorn,186.1156607,14.63306181,6,8,1,1534,51.13,4147.392,0,4451.5489,3754.08065,393.31135,52.3870446,6.4542947,Overijssel,30-3-2019
ADF1797,87,2,Vodafone,63,Kampen,73.79986374,9.099575287,5,17,4,331,11.03,8810.22,164,285336.3916,5615.348041,3194.871959,52.5579645,5.9144617,Overijssel,25-5-2019
ADF0608,16,1,Ben,61,Den Haag,404.3897189,41.97962029,10,9,4,2085,69.5,450.948,21,47.126,231.4173503,219.5306497,52.0704978,4.3006999,Zuid-Holland,8-5-2019
ADF1330,237,1,Telfort,36,Sittard-Geleen,387.9881962,46.52882768,4,12,0,888,29.6,5271.9,9,115805.208,2876.942762,2394.957238,51.0031681,5.8236706,Limburg,21-1-2019
ADF1413,682,3,Vodafone,28,Soest,196.0310138,15.19008934,8,13,3,5374,179.13,6051.48,0,525649.7168,1584.748335,4466.731665,52.1763515,5.299197,Utrecht,6-12-2018
ADF1612,369,1,KPN,65,Sliedrecht,17.35441646,25.43190073,6,14,3,1587,52.9,689.7624,18,68.9609,580.1568519,109.6055481,51.8248681,4.7731624,Zuid-Holland,23-6-2019
ADF1150,123,1,Telfort,52,Leiderdorp,435.4145764,20.61783647,7,12,3,984,32.8,2771.448,13,1024847.318,1078.40862,1693.03938,52.1509854,4.5281733,Zuid-Holland,19-5-2019
ADF0418,7,1,KPN,63,Emmen,322.8084681,31.36594162,7,14,1,1399,46.63,361.752,26,56.3018,205.9350677,155.8169323,52.7132367,6.9557766,Drenthe,14-2-2019
ADF0503,6,1,KPN,34,De Bilt,346.2769131,29.54455311,4,15,1,1962,65.4,1106.4624,1,209621.2959,647.0723413,459.3900587,52.1092717,5.1809676,Utrecht,13-7-2019
ADF1029,12,4,KPN,69,Epe,58.30644424,33.98966771,5,13,0,2622,87.4,92.772,0,28.6494,63.28882809,29.48317191,52.3450173,5.9836544,Gelderland,17-3-2019
ADF1659,528,1,Ben,46,Emmen,281.7314411,16.6363798,6,13,2,1477,49.23,1244.7648,29,17646.5743,850.9181722,393.8466278,52.7132367,6.9557766,Drenthe,4-2-2019
ADF0513,25,1,TELE2,72,Ede,439.3183547,24.78781146,5,5,2,348,11.6,1212.0384,98,5577.5479,911.1835836,300.8548164,52.0401675,5.6648594,Gelderland,20-5-2019
ADF1807,216,1,Telfort,43,Pijnacker-Nootdorp,232.7922266,57.10082655,6,11,3,4742,158.07,9966.8952,58,4307.1953,6401.949528,3564.945672,52.0126985,4.4273555,Zuid-Holland,5-12-2018
ADF0620,24,1,KPN,79,Almere,191.0366643,34.05917533,5,12,3,1742,58.07,1067.7336,33,4096.9658,832.6188541,235.1147459,52.3507849,5.2647016,Flevoland,16-7-2019
ADF1159,132,2,KPN,74,Sluis,313.4975231,47.93074654,5,10,0,4150,138.33,2842.8,4,8299015.549,1077.837166,1764.962834,51.3253599,3.4876046,Zeeland,11-4-2019
ADF1474,460,1,Ben,72,Amersfoort,129.0189635,12.82951691,7,11,1,4874,162.47,6868.8,18,288638.6953,1972.686926,4896.113074,52.1561113,5.3878266,Utrecht,15-4-2019
ADF1372,477,2,TELE2,45,Emmen,306.2524072,34.06017082,8,8,0,3437,114.57,5578.9464,12,717.7168,2591.431779,2987.514621,52.7132367,6.9557766,Drenthe,7-4-2019
ADF1430,16,2,Ben,63,Wormerland,372.3987119,36.84230042,7,11,2,1974,65.8,6285.3,8,4177100.395,5615.228545,670.0714549,52.5072747,4.8527996,Noord-Holland,26-5-2019
ADF0065,82,1,T-Mobile,86,Rotterdam,544.8315088,33.45448635,6,12,0,597,19.9,4583.52,89,314353.6328,2261.555264,2321.964736,51.9244201,4.4777326,Zuid-Holland,8-5-2019
ADF1497,42,1,KPN,77,Rotterdam,333.4074659,32.30347786,9,12,1,147,4.9,7203.432,0,4512623.857,4727.201125,2476.230875,51.9244201,4.4777326,Zuid-Holland,17-4-2019
ADF1346,93,1,KPN,33,Alkmaar,553.5744454,3.80886687,6,12,1,3809,126.97,5400.18,6,435275.586,2902.887481,2497.292519,52.6323813,4.7533754,Noord-Holland,14-2-2019
ADF1587,8,1,KPN,40,Utrecht,409.2218649,29.22505805,4,13,4,2261,75.37,435.696,14,58.3242,222.4048602,213.2911398,52.0907374,5.1214201,Utrecht,21-12-2018
ADF1701,633,1,TELE2,36,Utrecht,283.2330956,31.48938359,6,12,4,2848,94.93,5046.66,29,3094742.592,2631.785456,2414.874544,52.0907374,5.1214201,Utrecht,16-3-2019
ADF0039,14,2,KPN,42,Opmeer,4.826688463,33.2922643,6,16,2,123,4.1,460.284,0,1.4951,106.499826,353.784174,52.7053787,4.9426672,Noord-Holland,22-6-2019
ADF0347,22,1,TELE2,22,Hollands Kroon,321.434908,21.88430683,6,14,3,371,12.37,80.412,0,29283.8877,35.09534422,45.31665578,52.8118586,5.0011902,Noord-Holland,19-6-2019
ADF1423,482,1,T-Mobile,78,Montferland,7.555748902,33.41855799,7,12,0,1770,59,6195.9,0,5080.3379,5135.555456,1060.344544,51.919617,6.2463106,Gelderland,7-5-2019
ADF0302,9,1,KPN,55,Ede,564.0051593,43.39951604,5,13,1,872,29.07,2331.1752,9,272055.3193,884.3797852,1446.795415,52.0401675,5.6648594,Gelderland,28-4-2019
ADF1691,197,1,KPN,49,Moerdijk,42.66014587,20.34207944,7,13,3,476,15.87,4681.62,132,247180.4541,2500.963391,2180.656609,51.6601559,4.5130718,Noord-Brabant,13-5-2019
ADF1676,276,10,Telfort,48,Zundert,652.8979906,7.907457372,9,10,2,1832,61.07,4183.1304,26,540150.3252,1576.565255,2606.565145,51.4707015,4.6623558,Noord-Brabant,29-3-2019
ADF1889,15,2,0,31,Den Haag,196.3757744,41.07684709,5,12,3,5181,172.7,6205.74,2,1354.7891,3965.816739,2239.923261,52.0704978,4.3006999,Zuid-Holland,12-4-2019
ADF1216,105,4,TELE2,47,Geldermalsen,-4.273201649,36.67298615,3,10,2,118,3.93,3483.48,38,328089.8887,2352.798449,1130.681551,51.884365,5.2293588,Gelderland,17-5-2019
ADF1534,1320,1,TELE2,29,Rotterdam,296.7631534,25.76414216,8,9,0,1056,35.2,22480.908,0,14007530.84,13792.92542,8687.98258,51.9244201,4.4777326,Zuid-Holland,16-5-2019
